# Thu Jan  4 12:07:39 2024
#
#  LST    Total       LP   Band 8 Band 9/10
#  (h)      (h)      (h)      (h)      (h)
     0    185.0     92.5     39.2     20.8
     1    182.3     91.2     39.9     21.0
     2    179.2     89.6     39.4     20.4
     3    176.9     88.5     38.1     19.6
     4    175.3     87.7     37.3     19.5
     5    175.5     87.7     35.2     18.6
     6    176.0     88.0     32.3     17.3
     7    176.3     88.1     29.8     16.2
     8    176.4     88.2     26.6     14.1
     9    176.0     88.0     24.0     12.7
    10    176.1     88.1     21.5     11.6
    11    176.1     88.1     19.5     10.3
    12    175.3     87.7     17.7      8.9
    13    176.0     88.0     17.5      8.8
    14    175.8     87.9     19.1     10.0
    15    175.2     87.6     21.5     11.5
    16    176.8     88.4     24.8     13.0
    17    179.5     89.7     28.9     15.0
    18    181.1     90.5     32.1     16.5
    19    181.1     90.5     34.4     17.7
    20    182.7     91.3     35.8     18.6
    21    185.2     92.6     36.7     19.2
    22    186.2     93.1     37.5     19.9
    23    186.2     93.1     38.6     20.6
