# Thu Jan  4 10:51:47 2024
#
#  LST    Total       LP   Band 8 Band 9/10
#  (h)      (h)      (h)      (h)      (h)
     0     13.6      6.8      2.4      1.4
     1     13.0      6.5      0.9      0.5
     2      9.9      5.0      0.0      0.0
     3      8.4      4.2      0.0      0.0
     4      8.4      4.2      0.0      0.0
     5      9.4      4.7      0.0      0.0
     6     12.0      6.0      0.0      0.0
     7     14.8      7.4      0.0      0.0
     8     17.7      8.9      0.0      0.0
     9     20.0     10.0      0.2      0.1
    10     20.2     10.1      1.3      0.7
    11     19.5      9.8      2.7      1.3
    12     19.5      9.8      3.1      1.6
    13     19.3      9.7      3.5      1.8
    14     19.5      9.8      4.0      2.0
    15     19.5      9.8      4.3      2.2
    16     19.3      9.7      4.6      2.4
    17     19.5      9.8      4.8      2.5
    18     19.3      9.7      4.8      2.6
    19     19.5      9.8      5.0      2.6
    20     19.3      9.7      5.1      2.7
    21     18.5      9.3      5.0      2.8
    22     15.8      7.9      4.4      2.5
    23     13.8      6.9      3.7      2.2
