# Fri Dec 13 15:22:09 2024
#
#  LST    Total       LP   Band 8 Band 9/10
#  (h)      (h)      (h)      (h)      (h)
     0     32.0     16.0      5.0      2.3
     1     32.9     16.4      4.5      1.9
     2     32.2     16.1      4.7      2.0
     3     32.0     16.0      4.7      2.0
     4     31.3     15.7      4.9      2.2
     5     32.1     16.0      5.1      2.4
     6     34.0     17.0      5.1      2.5
     7     33.1     16.5      4.3      2.1
     8     34.4     17.2      3.9      1.9
     9     35.2     17.6      2.6      1.2
    10     34.9     17.4      2.1      1.1
    11     32.6     16.3      2.7      1.4
    12     31.0     15.5      3.1      1.6
    13     31.0     15.5      3.4      1.7
    14     30.8     15.4      3.5      1.8
    15     31.5     15.7      3.3      1.7
    16     31.7     15.9      3.3      1.7
    17     33.8     16.9      2.9      1.6
    18     35.6     17.8      3.1      1.6
    19     33.9     16.9      4.3      2.0
    20     32.2     16.1      5.1      2.3
    21     31.7     15.8      5.5      2.6
    22     29.5     14.8      5.6      2.7
    23     30.7     15.3      5.8      2.8
