LST,Total,LP,Band8,Band9/10
0,185.0,92.5,27.6,12.1
1,182.3,91.2,28.1,12.2
2,179.2,89.6,27.8,11.9
3,176.9,88.5,35.5,16.7
4,175.3,87.7,34.8,16.7
5,175.5,87.7,32.8,15.9
6,176.0,88.0,30.1,14.8
7,176.3,88.1,27.8,13.8
8,176.4,88.2,24.8,12.0
9,176.0,88.0,22.4,10.9
10,176.1,88.1,20.0,9.9
11,176.1,88.1,18.2,8.8
12,175.3,87.7,16.5,7.6
13,176.0,88.0,16.3,7.5
14,175.8,87.9,13.5,5.8
15,175.2,87.6,15.1,6.7
16,176.8,88.4,17.5,7.6
17,179.5,89.7,20.4,8.7
18,181.1,90.5,22.6,9.6
19,181.1,90.5,24.2,10.3
20,182.7,91.3,25.2,10.8
21,185.2,92.6,25.9,11.2
22,186.2,93.1,26.4,11.6
23,186.2,93.1,27.2,12.0
