LST,Total,LP,Band8,Band9/10
0,16.4,8.2,3.0,1.4
1,14.5,7.2,2.7,1.4
2,14.1,7.1,2.1,1.0
3,13.3,6.7,0.6,0.3
4,10.4,5.2,0.1,0.0
5,8.4,4.2,0.0,0.0
6,8.4,4.2,0.0,0.0
7,9.3,4.6,0.0,0.0
8,12.0,6.0,0.0,0.0
9,14.9,7.5,0.0,0.0
10,17.9,8.9,0.0,0.0
11,20.6,10.3,0.4,0.1
12,20.8,10.4,1.6,0.6
13,20.3,10.2,2.6,1.0
14,20.2,10.1,2.6,1.2
15,20.0,10.0,2.6,1.3
16,20.2,10.1,2.8,1.3
17,20.2,10.1,2.8,1.3
18,20.2,10.1,2.9,1.4
19,20.0,10.0,3.0,1.4
20,20.2,10.1,3.1,1.4
21,20.2,10.1,3.2,1.5
22,20.2,10.1,3.3,1.5
23,19.2,9.6,3.3,1.6
