# Thu Jan  4 10:42:47 2024
#
#  LST    Total       LP   Band 8 Band 9/10
#  (h)      (h)      (h)      (h)      (h)
     0      9.6      4.8      0.0      0.0
     1      7.5      3.8      0.0      0.0
     2      7.5      3.8      0.0      0.0
     3      8.3      4.1      0.0      0.0
     4     11.0      5.5      0.0      0.0
     5     13.5      6.7      0.0      0.0
     6     15.9      8.0      0.0      0.0
     7     18.3      9.1      0.1      0.0
     8     18.4      9.2      0.7      0.2
     9     18.1      9.1      1.5      0.5
    10     17.8      8.9      1.9      0.7
    11     18.0      9.0      2.3      1.0
    12     18.0      9.0      2.7      1.2
    13     18.0      9.0      3.0      1.5
    14     17.8      8.9      3.3      1.6
    15     18.0      9.0      3.6      1.7
    16     18.0      9.0      3.9      1.8
    17     18.0      9.0      4.2      1.9
    18     17.8      8.9      4.4      2.0
    19     17.1      8.6      4.3      2.0
    20     14.5      7.2      3.6      1.7
    21     12.8      6.4      2.9      1.3
    22     12.8      6.4      1.7      0.8
    23     11.7      5.9      0.4      0.2
