# Fri Dec 13 15:39:48 2024
#
#  LST    Total       LP   Band 8 Band 9/10
#  (h)      (h)      (h)      (h)      (h)
     0     39.7     19.8      9.8      5.1
     1     36.9     18.4      9.4      4.9
     2     36.4     18.2      9.6      4.9
     3     36.2     18.1      8.0      4.0
     4     32.5     16.3      6.1      3.2
     5     28.6     14.3      5.4      2.8
     6     28.6     14.3      5.4      2.8
     7     28.4     14.2      3.3      1.7
     8     28.0     14.0      2.3      1.0
     9     28.9     14.5      2.5      1.2
    10     30.6     15.3      2.7      1.3
    11     32.8     16.4      2.7      1.4
    12     34.8     17.4      3.9      1.8
    13     34.3     17.1      4.6      2.1
    14     35.9     18.0      3.6      1.7
    15     37.7     18.9      3.8      1.8
    16     36.7     18.4      5.9      2.7
    17     34.1     17.1      7.9      3.9
    18     33.6     16.8      8.3      4.2
    19     33.6     16.8      8.7      4.5
    20     34.8     17.4      9.1      4.8
    21     36.9     18.4      9.4      5.0
    22     38.4     19.2      9.7      5.1
    23     40.6     20.3      9.9      5.3
