LST,Total,LP,Band8,Band9/10
0,28.4,14.2,1.2,0.2
1,28.1,14.0,1.5,0.3
2,27.9,13.9,1.8,0.4
3,27.7,13.9,5.4,1.1
4,27.7,13.9,5.9,1.3
5,27.9,13.9,6.4,1.5
6,27.9,13.9,6.8,1.8
7,27.9,13.9,7.3,2.1
8,27.5,13.8,7.6,2.3
9,26.9,13.4,7.6,2.3
10,24.3,12.2,6.7,2.1
11,23.8,11.9,4.5,1.4
12,21.9,11.0,2.1,0.6
13,19.2,9.6,1.2,0.3
14,16.3,8.2,0.0,0.0
15,15.6,7.8,0.0,0.0
16,13.9,7.0,0.0,0.0
17,12.4,6.2,0.0,0.0
18,15.1,7.6,0.0,0.0
19,16.1,8.1,0.0,0.0
20,20.4,10.2,0.0,0.0
21,24.1,12.1,0.1,0.0
22,26.0,13.0,0.5,0.1
23,27.7,13.9,0.8,0.2
